identity_key,molecule_name,formula,rows,primary_rows,sources,energy_min_eV,energy_max_eV,primary_energy_max_eV,cv_fold,raw_primary_nmae_percent,raw_whole_nmae_percent,constant_primary_nmae_percent,constant_whole_nmae_percent,ml_primary_nmae_percent,ml_whole_nmae_percent,improvement_pp
phosphine,phosphine,PH3,18,8,"[""${ARCHIVE_ROOT}\\outputs\\current_experiment_beb_master_2026_08_01\\aip_fig9_12_13_experiment_ecp_beb_READY_TIER_B.csv""]",19.04,181.923,61.796,0,18.418829209414604,12.834475095475383,23.3895098871838,17.570750136258496,15.089857064031694,10.162324565042393,3.3289721453829095
pinacolone,methyl tert-butyl ketone,C6H12O,55,17,"[""${PROJECT_ROOT}\\data\\processed\\qec_low_energy_priority_curve_points_2026_07_26.csv""]",15.0,285.0,95.0,4,4.952210190953521,10.34172051923977,5.190129658136086,8.056870672038674,7.367276463458526,8.388614039752245,-2.4150662725050047
propane,Propane,C3H8,64,38,"[""${ARCHIVE_ROOT}\\nist_strict_usable_numeric_pairs_2026_07_30\\paired_numeric\\025_C3H8_BEB_vs_experiment.csv""]",12.0577,298.389,80.8183,2,10.586365004309457,9.987745255362103,10.608323282793652,8.882863608563454,14.747077750365618,13.56053768044717,-4.160712746056161
propyl-acetate,propyl acetate,C5H10O2,55,20,"[""${ARCHIVE_ROOT}\\outputs\\no_qec_priority_2026_07_31\\ready15_esters_experiment_beb\\paired_curves\\010_propyl_acetate_experiment_beb_paired.csv""]",15.0,285.0,110.0,3,18.42429146793077,9.723439623938992,22.047739558245322,9.745957079388857,1.7682043452103768,2.337576810514817,16.656087122720393
propyl-formate,propyl formate,C4H8O2,55,19,"[""${ARCHIVE_ROOT}\\outputs\\no_qec_priority_2026_07_31\\ready15_esters_experiment_beb\\paired_curves\\003_propyl_formate_experiment_beb_paired.csv""]",15.0,285.0,105.0,0,18.53463477776895,10.919727240353335,23.51017644348101,10.464226036919042,14.623081208342478,10.15817894738251,3.911553569426472
silane,silane,SiH4,55,37,"[""${ARCHIVE_ROOT}\\nist_strict_usable_numeric_pairs_2026_07_30\\paired_numeric\\026_SiH4_BEB_vs_experiment.csv""]",12.0409,299.601,70.7107,3,11.420728609368126,15.84029000443929,11.61425396532012,16.40032139651949,12.873002452726498,19.398038162598006,-1.4522738433583715
silicon-dichloride,silicon dichloride,SiCl2,31,22,"[""${ARCHIVE_ROOT}\\outputs\\current_experiment_beb_master_2026_08_01\\siclx_experiment_raw_beb_READY_TIER_B.csv""]",12.056,200.466,80.115,4,18.04753649939003,22.35298318674417,15.668844668740878,19.875836305038863,20.945551412561105,23.918197710550007,-2.8980149131710746
silicon-difluoride,silicon difluoride,SiF2,29,24,"[""${ARCHIVE_ROOT}\\outputs\\current_experiment_beb_master_2026_08_01\\nist_fast12_experiment_beb_digitized_READY_TIER_B.csv""]",12.041,200.474,69.828,3,9.160385259631493,10.646535322824349,9.147857170662483,11.508207503575774,8.736151338817923,9.065298479419104,0.42423392081357036
silicon-monochloride,silicon monochloride,SiCl,29,19,"[""${ARCHIVE_ROOT}\\outputs\\current_experiment_beb_master_2026_08_01\\siclx_experiment_raw_beb_READY_TIER_B.csv""]",14.038,198.019,70.164,2,16.546346916741967,17.446718962394243,16.116426841648973,15.994715629142489,17.368741311002655,13.060459666099424,-0.8223943942606873
silicon-monofluoride,silicon monofluoride,SiF,22,15,"[""${ARCHIVE_ROOT}\\outputs\\current_experiment_beb_master_2026_08_01\\nist_fast12_experiment_beb_digitized_READY_TIER_B.csv""]",7.956,80.17,44.998,4,22.004360843530336,17.57738869233018,19.08913928269825,14.496701410542952,37.15029634510856,32.15919275857364,-15.145935501578222
